AR-DRG V10.0,description,bool_same_day_payment_list,bool_bundled_icu,alos,inlier_lb,inlier_ub,adj_private_patient_service,adj_paediatric,pwt_sameday,pwt_shortstay_outlierbase,pwt_shortstay_outlier_perdiem,pwt_inlier,pwt_longstay_outlier_perdiem
I27A,"Soft Tissue Interventions, Major Complexity", , ,9.9,3,30,0.12,1.0,,0.6886,1.2025,4.2961,0.2572
I27B,"Soft Tissue Interventions, Minor Complexity",YES, ,2.2,1,7,0.16,1.11,0.6104,,,1.307,0.2768
I28A,"Other Musculoskeletal Interventions, Major Complexity", , ,11.3,3,34,0.15,1.0,,0.8788,1.1702,4.3895,0.2608
I28B,"Other Musculoskeletal Interventions, Intermediate Complexity", , ,4.4,1,13,0.19,1.15,,,,2.1097,0.2411
I28C,"Other Musculoskeletal Interventions, Minor Complexity", , ,1.6,1,5,0.22,1.11,,,,1.1969,0.279
I29Z,"Knee Reconstructions, and Revisions of Reconstructions", , ,1.2,1,4,0.26,1.17,,,,1.7529,0.478
I30Z,Hand Interventions, , ,1.2,1,4,0.2,0.94,,,,0.843,0.2286
I31A,"Revision of Hip Replacement, Major Complexity", , ,21.7,7,65,0.24,1.0,,3.0357,0.9708,9.8311,0.1985
I31B,"Revision of Hip Replacement, Intermediate Complexity", , ,10.4,3,31,0.32,1.0,,2.47,1.2171,6.1213,0.2439
I31C,"Revision of Hip Replacement, Minor Complexity", , ,6.3,2,19,0.38,1.0,,2.4606,1.0492,4.5589,0.2128
I32A,"Revision of Knee Replacement, Major Complexity", , ,19.1,6,57,0.25,1.0,,3.8607,0.8045,8.6876,0.1883
I32B,"Revision of Knee Replacement, Minor Complexity", , ,7.9,2,24,0.28,1.0,,2.4425,1.4863,5.4152,0.1583
I33A,"Hip Replacement for Non-Trauma, Major Complexity", , ,7.7,2,23,0.32,1.0,,2.4883,1.2344,4.9571,0.269
I33B,"Hip Replacement for Non-Trauma, Minor Complexity", , ,3.9,1,12,0.46,1.0,,,,3.7733,0.213
I60Z,Femoral Shaft Fractures, , ,6.6,2,20,0.06,1.0,,0.2325,1.0292,2.2909,0.2598
I61Z,Distal Femoral Fractures, , ,5.8,1,17,0.07,1.1,,,,1.2838,0.2233
I63A,"Sprains, Strains and Dislocations of Hip, Pelvis and Thigh, Major Complexity", , ,4.8,1,14,0.1,1.0,,,,1.242,0.2237
I63B,"Sprains, Strains and Dislocations of Hip, Pelvis and Thigh, Minor Complexity", , ,1.5,1,4,0.12,1.11,,,,0.3179,0.2304
I64A,"Osteomyelitis, Major Complexity", , ,14.1,4,42,0.09,1.0,,0.0,0.9253,3.7012,0.1696
I64B,"Osteomyelitis, Minor Complexity", , ,6.3,2,19,0.08,1.0,,0.0,0.7464,1.4927,0.1116
I65A,"Musculoskeletal Malignant Neoplasms, Major Complexity", , ,10.4,3,31,0.08,0.93,,0.0,1.163,3.4889,0.2618
I65B,"Musculoskeletal Malignant Neoplasms, Minor Complexity", , ,4.2,1,12,0.08,1.15,,,,1.2758,0.2503
I66A,"Inflammatory Musculoskeletal Disorders, Major Complexity", , ,7.4,2,22,0.09,1.1,,0.0,1.2694,2.5389,0.2878
I66B,"Inflammatory Musculoskeletal Disorders, Minor Complexity", , ,1.3,1,4,0.11,1.66,,,,0.284,0.2002
I67A,"Septic Arthritis, Major Complexity", , ,12.0,3,36,0.09,1.0,,0.0,1.0861,3.2582,0.1555
I67B,"Septic Arthritis, Minor Complexity", , ,5.0,1,15,0.1,1.0,,,,0.8499,0.1252
I68A,"Non-surgical Spinal Disorders, Major Complexity", , ,5.6,1,17,0.1,1.0,,,,1.3837,0.238
I68B,"Non-surgical Spinal Disorders, Minor Complexity", , ,1.6,1,5,0.12,1.52,,,,0.3225,0.2273
I69A,"Bone Diseases and Arthropathies, Major Complexity", , ,5.1,1,15,0.1,0.81,,,,1.2275,0.2325
I69B,"Bone Diseases and Arthropathies, Minor Complexity", , ,1.7,1,5,0.11,1.51,,,,0.3178,0.2174
I71A,"Other Musculotendinous Disorders, Major Complexity", , ,4.5,1,13,0.1,0.89,,,,1.0346,0.2357
I71B,"Other Musculotendinous Disorders, Minor Complexity", , ,1.4,1,4,0.14,1.51,,,,0.2695,0.189
I72A,"Specific Musculotendinous Disorders, Major Complexity", , ,5.9,1,18,0.08,1.08,,,,1.3645,0.2331
I72B,"Specific Musculotendinous Disorders, Minor Complexity", , ,1.8,1,5,0.09,1.19,,,,0.3516,0.2138
I73A,"Aftercare of Musculoskeletal Implants or Prostheses, Major Complexity", , ,9.3,3,28,0.1,1.0,,0.0,0.7539,2.2616,0.1486
I73B,"Aftercare of Musculoskeletal Implants or Prostheses, Minor Complexity", , ,3.1,1,9,0.11,1.09,,,,0.5285,0.1226
I74A,"Injuries to Forearm, Wrist, Hand and Foot, Major Complexity", , ,3.3,1,10,0.13,0.88,,,,0.7346,0.2168
I74B,"Injuries to Forearm, Wrist, Hand and Foot, Minor Complexity", , ,1.1,1,3,0.24,1.45,,,,0.2898,0.1683
I75A,"Injuries to Shoulder, Arm, Elbow, Knee, Leg and Ankle, Major Complexity", , ,7.9,2,24,0.08,1.0,,0.0,0.9989,1.9979,0.2027
I75B,"Injuries to Shoulder, Arm, Elbow, Knee, Leg and Ankle, Intermediate Complexity", , ,2.2,1,7,0.13,1.42,,,,0.5068,0.2242
I75C,"Injuries to Shoulder, Arm, Elbow, Knee, Leg and Ankle, Minor Complexity", , ,1.4,1,4,0.14,1.5,,,,0.2532,0.1839
I76A,"Other Musculoskeletal Disorders, Major Complexity", , ,5.8,1,17,0.1,0.8,,,,1.4351,0.2257
I76B,"Other Musculoskeletal Disorders, Minor Complexity", , ,1.4,1,4,0.13,1.5,,,,0.2988,0.2208
I77A,"Fractures of Pelvis, Major Complexity", , ,8.8,2,26,0.09,1.0,,0.0,1.1122,2.2245,0.2303
I77B,"Fractures of Pelvis, Minor Complexity", , ,3.5,1,10,0.11,1.0,,,,0.7635,0.2203
I78A,"Fractures of Neck of Femur, Major Complexity", , ,9.8,3,29,0.09,1.0,,0.0,0.8084,2.4251,0.2111
I78B,"Fractures of Neck of Femur, Minor Complexity", , ,4.4,1,13,0.09,1.0,,,,0.9539,0.2034
I79A,"Pathological Fractures, Major Complexity", , ,9.8,3,29,0.09,1.0,,0.0,0.9886,2.9659,0.2717
I79B,"Pathological Fractures, Minor Complexity", , ,4.2,1,13,0.1,0.84,,,,1.0538,0.2548
I80Z,"Femoral Fractures, Transferred to Acute Facility < 2 Days", , ,1.0,1,1,0.45,1.0,,,,0.2341,0.1873
J01A,"Microvas Tiss Transf for Skin, Subcut Tiss & Breast Dsrds, Major Complexity", , ,18.2,6,55,0.26,1.0,,4.0825,1.2385,11.5136,0.3187
J01B,"Microvas Tiss Transf for Skin, Subcut Tiss & Breast Dsrds, Minor Complexity", , ,7.8,2,23,0.29,1.0,,2.0895,2.4903,7.0701,0.2514
J06A,"Major Interventions for Breast Disorders, Major Complexity", , ,6.3,2,19,0.2,1.0,,1.1345,1.0205,3.1756,0.177
J06B,"Major Interventions for Breast Disorders, Minor Complexity", , ,3.1,1,9,0.21,0.94,,,,2.0447,0.1758
J07Z,Minor Interventions for Breast Disorders, , ,1.1,1,3,0.23,1.0,,,,1.0353,0.4026
J08A,"Other Skin Grafts and Debridement Interventions, Major Complexity", , ,14.7,4,44,0.08,1.0,,0.6605,1.0726,4.951,0.2573
J08B,"Other Skin Grafts and Debridement Interventions, Intermediate Complexity",YES, ,4.0,1,12,0.11,1.15,0.7161,,,1.5876,0.23
J08C,"Other Skin Grafts and Debridement Interventions, Minor Complexity",YES, ,2.6,1,8,0.19,1.3,0.5946,,,1.2272,0.194
J09Z,Perianal and Pilonidal Interventions, , ,2.0,1,7,0.12,1.27,,,,0.7636,0.2514
J10A,"Plastic GIs for Skin, Subcutaneous Tissue and Breast Disorders, Major Comp",YES, ,3.9,1,12,0.12,1.0,0.6771,,,2.0247,0.2984
J10B,"Plastic GIs for Skin, Subcutaneous Tissue and Breast Disorders, Minor Comp", , ,1.1,1,3,0.24,1.0,,,,0.6332,0.1924
J11A,"Other Skin, Subcutaneous Tissue and Breast Interventions, Major Complexity",YES, ,4.0,1,12,0.14,1.07,0.5571,,,1.4336,0.2329
J11B,"Other Skin, Subcutaneous Tissue and Breast Interventions, Minor Complexity", , ,1.1,1,3,0.2,1.06,,,,0.4553,0.1542
J12A,"Lower Limb Interventions W Ulcer or Cellulitis, Major Complexity", , ,16.5,5,49,0.08,1.0,,0.3573,1.0037,5.376,0.2583
J12B,"Lower Limb Interventions W Ulcer or Cellulitis, Minor Complexity", , ,6.2,2,19,0.09,1.0,,0.1806,0.8888,1.9582,0.2157
J13A,"Lower Limb Interventions W/O Ulcer or Cellulitis, Major Complexity",YES, ,8.6,2,26,0.09,1.0,0.9005,0.5919,1.2477,3.0874,0.2667
J13B,"Lower Limb Interventions W/O Ulcer or Cellulitis, Minor Complexity",YES, ,4.0,1,12,0.14,0.92,0.5822,,,1.5244,0.2181
J14Z,Major Breast Reconstructions, , ,6.1,2,19,0.16,1.0,,0.881,2.1395,5.16,0.417
J60A,"Skin Ulcers, Major Complexity", , ,9.2,3,28,0.07,1.0,,0.0,0.8228,2.4683,0.2124
J60B,"Skin Ulcers, Intermediate Complexity",YES, ,4.9,1,15,0.09,1.0,0.1764,,,0.9885,0.1749
J60C,"Skin Ulcers, Minor Complexity",YES, ,4.8,1,14,0.06,1.0,0.1444,,,0.7511,0.1166
J62A,"Malignant Breast Disorders, Major Complexity", , ,8.8,2,26,0.12,1.0,,0.0921,1.1684,2.4289,0.2375
J62B,"Malignant Breast Disorders, Minor Complexity",YES, ,5.2,1,16,0.1,1.0,0.1982,,,1.0508,0.1764
J63Z,Non-Malignant Breast Disorders,YES, ,3.0,1,9,0.1,1.11,0.2307,,,0.7674,0.1893
J64A,"Cellulitis, Major Complexity", , ,5.4,1,16,0.08,1.0,,,,1.3274,0.2191
J64B,"Cellulitis, Minor Complexity",YES, ,2.9,1,9,0.08,1.32,0.1656,,,0.6737,0.1418
J65A,"Trauma to Skin, Subcutaneous Tissue and Breast, Major Complexity",YES, ,5.4,1,16,0.11,1.0,0.1483,,,1.3069,0.2225
J65B,"Trauma to Skin, Subcutaneous Tissue and Breast, Minor Complexity", , ,1.3,1,4,0.15,1.41,,,,0.2374,0.1738
J67A,"Minor Skin Disorders, Major Complexity",YES, ,4.4,1,13,0.09,1.19,0.2433,,,1.1723,0.238
J67B,"Minor Skin Disorders, Minor Complexity", , ,1.3,1,4,0.12,1.28,,,,0.2865,0.2231
J68A,"Major Skin Disorders, Major Complexity",YES, ,5.8,1,18,0.07,0.92,0.2317,,,1.7313,0.2788
J68B,"Major Skin Disorders, Minor Complexity",YES, ,3.1,1,9,0.07,1.23,0.1603,,,0.8447,0.2566
J69A,"Skin Malignancy, Major Complexity", , ,8.6,2,26,0.09,1.0,,0.0,1.0907,2.1814,0.2284
J69B,"Skin Malignancy, Minor Complexity",YES, ,4.3,1,13,0.11,1.0,0.1793,,,0.9481,0.1618
K01A,"GIs for Diabetic Complications, Major Complexity", , ,26.8,8,80,0.08,1.0,,0.47,1.1311,9.5186,0.2852
K01B,"GIs for Diabetic Complications, Intermediate Complexity", , ,15.0,4,45,0.07,1.0,,0.3705,1.0875,4.7207,0.2144
K01C,"GIs for Diabetic Complications, Minor Complexity", , ,5.3,1,16,0.08,1.0,,,,1.5937,0.241
K02Z,Pituitary Interventions, , ,7.3,2,21,0.19,1.0,,1.6307,1.4514,4.5335,0.3873
K03Z,Adrenal Interventions, , ,4.5,1,13,0.17,1.0,,,,3.0955,0.4232
K05A,"Parathyroid Interventions, Major Complexity", , ,4.4,1,13,0.17,1.0,,,,2.6661,0.3696
K05B,"Parathyroid Interventions, Minor Complexity", , ,1.3,1,4,0.22,1.0,,,,1.2901,0.3837
K06A,"Thyroid Interventions, Major Complexity", , ,4.0,1,12,0.14,1.0,,,,3.0669,0.3985
K06B,"Thyroid Interventions, Minor Complexity", , ,1.6,1,5,0.16,1.0,,,,1.805,0.4561
K08Z,Thyroglossal Interventions, , ,1.4,1,4,0.13,1.0,,,,1.3674,0.4437
K09A,"Other Endocrine, Nutritional and Metabolic GIs, Major Complexity", , ,14.6,4,44,0.12,1.34,,0.699,1.4643,6.556,0.2846
K09B,"Other Endocrine, Nutritional and Metabolic GIs, Minor Complexity", , ,4.2,1,13,0.19,1.0,,,,2.0891,0.2904
K10Z,Revisional and Open Bariatric Interventions, , ,5.4,3,30,0.13,1.0,,1.5607,0.663,3.5498,0.3325
K11A,"Major Laparoscopic Bariatric Interventions, Major Complexity", , ,3.2,1,9,0.35,1.0,,,,2.5729,0.3899
K11B,"Major Laparoscopic Bariatric Interventions, Minor Complexity", , ,2.3,1,7,0.35,1.0,,,,2.0909,0.3188
K12Z,Other Bariatric Interventions, , ,2.0,1,7,0.13,1.0,,,,1.5466,0.3375
K13Z,"Plastic GIs for Endocrine, Nutritional and Metabolic Disorders", , ,5.1,1,12,0.13,1.0,,,,2.3921,0.1982
K40A,"Endoscopic and Investigative Interventions for Metabolic Disorders, Major Comp", , ,10.2,3,30,0.1,1.05,,0.2981,1.1896,3.867,0.2799
K40B,"Endoscopic and Investigative Interventions for Metabolic Disorders, Minor Comp", , ,1.1,1,3,0.22,2.0,,,,0.3959,0.3106
K60A,"Diabetes, Major Complexity", , ,5.5,1,17,0.09,1.57,,,,1.6636,0.2493
K60B,"Diabetes, Minor Complexity",YES, ,3.1,1,9,0.12,2.0,0.1366,,,0.8441,0.2047
K61A,"Severe Nutritional Disturbance, Major Complexity", , ,14.4,4,43,0.06,1.0,,0.0,1.1441,4.5765,0.2831
K61B,"Severe Nutritional Disturbance, Minor Complexity", , ,6.2,2,19,0.06,1.19,,0.0,0.983,1.966,0.259
K62A,"Miscellaneous Metabolic Disorders, Major Complexity", , ,6.2,2,19,0.09,1.45,,0.0,0.9588,1.9176,0.2416
K62B,"Miscellaneous Metabolic Disorders, Intermediate Complexity",YES, ,3.2,1,10,0.1,1.57,0.1426,,,0.8265,0.2457
K62C,"Miscellaneous Metabolic Disorders, Minor Complexity", , ,1.3,1,4,0.1,2.0,,,,0.2201,0.1531
K63A,"Inborn Errors of Metabolism, Major Complexity", , ,5.4,1,16,0.06,1.13,,,,1.474,0.3321
K63B,"Inborn Errors of Metabolism, Minor Complexity", , ,1.1,1,3,0.05,1.68,,,,0.2701,0.2046
K64A,"Endocrine Disorders, Major Complexity", , ,4.3,1,13,0.1,1.76,,,,1.3767,0.2453
K64B,"Endocrine Disorders, Minor Complexity",YES, ,2.6,1,8,0.12,2.0,0.1823,,,0.7406,0.2449
L02A,"Operative Insertion of Peritoneal Catheter for Dialysis, Major Complexity", , ,8.6,2,26,0.08,1.0,,0.6188,1.5447,3.7082,0.3066
L02B,"Operative Insertion of Peritoneal Catheter for Dialysis, Minor Complexity", , ,1.5,1,4,0.08,1.0,,,,1.0757,0.3158
L03A,"Kidney, Ureter and Major Bladder Interventions for Neoplasm, Major Complexity", , ,14.3,4,43,0.13,1.0,,2.0845,1.5569,8.3119,0.3359
L03B,"Kidney, Ureter and Major Bladder Interventions for Neoplasm, Intermediate Comp", , ,6.0,1,18,0.15,1.0,,,,4.4413,0.3834
L03C,"Kidney, Ureter and Major Bladder Interventions for Neoplasm, Minor Complexity", , ,3.3,1,10,0.15,1.0,,,,2.7492,0.5483
L04A,"Kidney, Ureter and Major Bladder Interventions for Non-Neoplasm, Major Comp", , ,11.2,3,34,0.14,1.1,,0.8172,1.372,4.9332,0.3046
L04B,"Kidney, Ureter and Major Bladder Interventions for Non-Neoplasm, Interm Comp",YES, ,4.0,1,12,0.17,1.07,0.8256,,,2.2128,0.2579
L04C,"Kidney, Ureter and Major Bladder Interventions for Non-Neoplasm, Minor Comp", , ,1.4,1,4,0.18,1.65,,,,1.0559,0.3387
L05A,"Transurethral Prostatectomy for Urinary Disorder, Major Complexity", , ,7.0,2,21,0.21,1.0,,0.5659,0.99,2.5459,0.2558
L05B,"Transurethral Prostatectomy for Urinary Disorder, Minor Complexity", , ,2.3,1,7,0.25,1.0,,,,1.2829,0.2586
L06A,"Minor Bladder Interventions, Major Complexity", , ,11.2,3,34,0.13,1.0,,0.7552,1.3727,4.8734,0.2889
L06B,"Minor Bladder Interventions, Intermediate Complexity", , ,4.3,1,13,0.14,0.94,,,,1.911,0.2386
L06C,"Minor Bladder Interventions, Minor Complexity",YES, ,2.2,1,6,0.15,1.0,0.5685,,,1.1148,0.2457
L07A,"Other Transurethral Interventions, Major Complexity", , ,5.0,1,15,0.13,1.0,,,,2.1331,0.2771
L07B,"Other Transurethral Interventions, Minor Complexity", , ,1.3,1,4,0.19,1.33,,,,0.8043,0.3062
L08Z,Urethral Interventions,YES, ,2.1,1,6,0.12,1.14,0.5313,,,1.4442,0.4149
L09A,"Other Interventions for Kidney and Urinary Tract Disorders, Major Complexity", , ,17.2,5,52,0.12,1.0,,0.8376,1.1945,6.81,0.3094
L09B,"Other Interventions for Kidney and Urinary Tract Disorders, Interm Complexity", , ,5.0,1,15,0.09,1.0,,,,2.3269,0.2683
L09C,"Other Interventions for Kidney and Urinary Tract Disorders, Minor Complexity", , ,1.3,1,4,0.14,0.8,,,,1.1002,0.3359
L10A,"Kidney Transplant, Age <= 16 Years or Major Complexity", , ,11.7,3,35,0.09,1.06,,2.3497,2.8366,10.8596,0.5595
L10B,"Kidney Transplant, Age >= 17 Years and Minor Complexity", , ,7.7,2,23,0.07,1.0,,2.2396,2.9668,8.1732,0.3514
L43A,"Nephrolithiasis Interventions, Major Complexity", , ,3.2,1,10,0.16,1.0,,,,1.2823,0.2606
L43B,"Nephrolithiasis Interventions, Minor Complexity", , ,1.4,1,4,0.22,1.18,,,,0.7202,0.2529
L44A,"Cystourethroscopy for Urinary Disorder, Major Complexity", , ,1.7,1,5,0.13,1.44,,,,0.5477,0.2899
L44B,"Cystourethroscopy for Urinary Disorder, Minor Complexity", , ,1.0,1,3,0.19,2.0,,,,0.2296,0.0913
L60A,"Kidney Failure, Major Complexity", , ,11.5,3,34,0.1,1.0,,0.0,1.2409,3.7226,0.2749
L60B,"Kidney Failure, Intermediate Complexity", , ,5.8,1,17,0.1,1.36,,,,1.5984,0.2569
L60C,"Kidney Failure, Minor Complexity",YES, ,3.2,1,10,0.11,1.74,0.3979,,,0.7874,0.2293
L61Z,Haemodialysis, , ,1.0,1,3,0.14,2.0,,,,0.1051,0.0841
L62A,"Kidney and Urinary Tract Neoplasms, Major Complexity", , ,7.4,2,22,0.09,1.44,,0.1114,1.0785,2.2683,0.2578
L62B,"Kidney and Urinary Tract Neoplasms, Intermediate Complexity", , ,2.0,1,6,0.15,1.48,,,,0.5775,0.2409
L62C,"Kidney and Urinary Tract Neoplasms, Minor Complexity", , ,1.1,1,3,0.25,1.0,,,,0.2169,0.1621
L63A,"Kidney and Urinary Tract Infections, Major Complexity", , ,4.8,1,14,0.1,1.14,,,,1.1894,0.2366
L63B,"Kidney and Urinary Tract Infections, Minor Complexity",YES, ,2.3,1,7,0.11,1.31,0.1276,,,0.5673,0.2122
L64A,"Urinary Stones and Obstruction, Major Complexity",YES, ,2.1,1,6,0.2,2.0,0.1471,,,0.5536,0.2255
L64B,"Urinary Stones and Obstruction, Minor Complexity", , ,1.1,1,3,0.29,2.0,,,,0.1541,0.1212
L65A,"Kidney and Urinary Tract Signs and Symptoms, Major Complexity",YES, ,5.7,1,17,0.1,1.39,0.2492,,,1.494,0.2524
L65B,"Kidney and Urinary Tract Signs and Symptoms, Minor Complexity",YES, ,2.1,1,6,0.11,1.57,0.1342,,,0.5368,0.2356
L66Z,Urethral Stricture, , ,1.2,1,4,0.13,1.0,,,,0.3176,0.1547
L67A,"Other Kidney and Urinary Tract Disorders, Major Complexity",YES, ,6.8,2,20,0.1,1.52,0.3324,0.0,0.9872,1.9745,0.2398
L67B,"Other Kidney and Urinary Tract Disorders, Intermediate Complexity",YES, ,3.1,1,9,0.11,1.55,0.282,,,0.8012,0.1899
L67C,"Other Kidney and Urinary Tract Disorders, Minor Complexity", , ,1.1,1,3,0.16,2.0,,,,0.1882,0.141
L68Z,Peritoneal Dialysis, , ,1.0,1,3,0.07,2.0,,,,0.1801,0.1109
M01A,"Major Male Pelvic Interventions, Major Complexity", , ,7.0,2,21,0.19,1.0,,2.7327,1.1225,4.9776,0.325
M01B,"Major Male Pelvic Interventions, Minor Complexity", , ,2.9,1,9,0.21,1.0,,,,3.3773,0.1278
M02A,"Transurethral Prostatectomy for Reproductive System Disorder, Major Complexity", , ,5.9,1,18,0.14,1.0,,,,2.3643,0.2612
M02B,"Transurethral Prostatectomy for Reproductive System Disorder, Minor Complexity", , ,2.3,1,7,0.25,1.0,,,,1.3127,0.268
M03A,"Penis Interventions, Major Complexity", , ,3.0,1,9,0.16,0.8,,,,1.8871,0.3853
M03B,"Penis Interventions, Minor Complexity", , ,1.2,1,4,0.16,1.19,,,,0.8062,0.2492
M04Z,Testes Interventions, , ,1.3,1,4,0.16,0.89,,,,0.8413,0.277
M05Z,Circumcision, , ,1.1,1,3,0.11,0.94,,,,0.6536,0.2018
M06A,"Other Male Reproductive System GIs, Major Complexity", , ,8.0,2,24,0.11,1.0,,0.728,1.322,3.372,0.2992
M06B,"Other Male Reproductive System GIs, Minor Complexity", , ,1.3,1,4,0.42,0.85,,,,1.2741,0.3283
M40Z,"Cystourethroscopy for Male Reproductive System Disorder, Sameday", , ,1.0,1,1,0.28,1.0,,,,0.2789,
M60A,"Male Reproductive System Malignancy, Major Complexity", , ,6.1,2,18,0.1,1.0,,0.0918,0.9207,1.9333,0.2243
M60B,"Male Reproductive System Malignancy, Minor Complexity", , ,1.2,1,4,0.5,1.0,,,,0.4014,0.2528
M61A,"Benign Prostatic Hypertrophy, Major Complexity", , ,3.5,1,11,0.15,1.0,,,,0.9529,0.2088
M61B,"Benign Prostatic Hypertrophy, Minor Complexity", , ,1.3,1,4,0.15,1.0,,,,0.3954,0.2243
M62A,"Male Reproductive System Inflammation, Major Complexity", , ,5.0,1,15,0.09,1.0,,,,1.2019,0.2148
M62B,"Male Reproductive System Inflammation, Minor Complexity",YES, ,2.4,1,7,0.1,1.31,0.1267,,,0.583,0.1958
M63Z,Male Sterilisation Interventions, , ,1.0,1,3,0.17,1.0,,,,0.4628,0.151
M64A,"Other Male Reproductive System Disorders, Major Complexity", , ,2.1,1,6,0.1,1.11,,,,0.557,0.2198
M64B,"Other Male Reproductive System Disorders, Minor Complexity", , ,1.1,1,3,0.14,1.31,,,,0.295,0.1545
N01Z,Pelvic Evisceration and Radical Vulvectomy, , ,10.0,2,27,0.14,1.0,,1.0666,2.4091,5.8848,0.4076
N04A,"Hysterectomy for Non-Malignancy, Major Complexity", , ,4.1,1,12,0.11,1.0,,,,3.0968,0.3418
N04B,"Hysterectomy for Non-Malignancy, Minor Complexity", , ,2.4,1,7,0.11,1.0,,,,2.1684,0.3372
N05A,"Oophorectomy and Complex Fallopian Tube Int for Non-Malignancy, Maj Comp", , ,3.7,1,11,0.15,1.0,,,,2.6056,0.3559
N05B,"Oophorectomy and Complex Fallopian Tube Int for Non-Malignancy, Min Comp", , ,1.5,1,5,0.15,1.0,,,,1.5342,0.4154
N06A,"Female Reproductive System Reconstructive Interventions, Major Complexity", , ,3.6,1,11,0.19,1.0,,,,2.4492,0.3636
N06B,"Female Reproductive System Reconstructive Interventions, Minor Complexity", , ,1.9,1,6,0.19,1.0,,,,1.4805,0.3888
N07A,"Other Uterus and Adnexa Interventions for Non-Malignancy, Major Complexity", , ,1.4,1,4,0.13,1.11,,,,1.249,0.3409
N07B,"Other Uterus and Adnexa Interventions for Non-Malignancy, Minor Complexity", , ,1.0,1,3,0.22,1.0,,,,0.6234,0.2017
N08Z,"Endoscopic and Laparoscopic Interventions, Female Reproductive System", , ,1.3,1,4,0.14,1.17,,,,0.9535,0.2714
N09A,"Other Vagina, Cervix and Vulva Interventions, Major Complexity", , ,2.2,1,7,0.12,1.32,,,,1.0758,0.3185
N09B,"Other Vagina, Cervix and Vulva Interventions, Minor Complexity", , ,1.0,1,3,0.16,1.34,,,,0.497,0.19
N10Z,Diagnostic Curettage and Diagnostic Hysteroscopy, , ,1.1,1,3,0.15,1.0,,,,0.4857,0.1626
N11A,"Other Female Reproductive System GIs, Major Complexity", , ,6.1,1,17,0.1,1.0,,,,2.5092,0.2879
N11B,"Other Female Reproductive System GIs, Minor Complexity", , ,1.0,1,3,0.12,1.0,,,,0.4213,0.3371
N12A,"Uterus and Adnexa Interventions for Malignancy, Major Complexity", , ,9.0,2,27,0.12,1.0,,1.3922,1.8991,5.1904,0.368
N12B,"Uterus and Adnexa Interventions for Malignancy, Intermediate Complexity", , ,4.0,1,12,0.1,1.0,,,,2.9869,0.3242
N12C,"Uterus and Adnexa Interventions for Malignancy, Minor Complexity", , ,2.3,1,7,0.14,1.0,,,,2.1372,0.4185
N60A,"Female Reproductive System Malignancy, Major Complexity", , ,8.4,2,25,0.08,1.0,,0.0,1.3324,2.6647,0.2616
N60B,"Female Reproductive System Malignancy, Minor Complexity", , ,2.9,1,9,0.07,1.8,,,,0.8181,0.2544
N61A,"Female Reproductive System Infections, Major Complexity", , ,3.4,1,10,0.09,1.0,,,,0.9626,0.2279
N61B,"Female Reproductive System Infections, Minor Complexity", , ,1.6,1,5,0.09,1.27,,,,0.384,0.2733
N62A,"Menstrual and Other Female Reproductive System Disorders, Major Complexity", , ,2.0,1,6,0.09,1.24,,,,0.5049,0.2441
N62B,"Menstrual and Other Female Reproductive System Disorders, Minor Complexity", , ,1.2,1,3,0.13,1.66,,,,0.2329,0.152
