AR-DRG V10.0,description,bool_same_day_payment_list,bool_bundled_icu,alos,inlier_lb,inlier_ub,adj_private_patient_service,adj_paediatric,pwt_sameday,pwt_shortstay_outlierbase,pwt_shortstay_outlier_perdiem,pwt_inlier,pwt_longstay_outlier_perdiem
O01A,"Caesarean Delivery, Major Complexity", , ,6.7,2,20,0.1,1.0,,0.8859,1.1708,3.2275,0.2767
O01B,"Caesarean Delivery, Intermediate Complexity", , ,4.2,1,13,0.12,1.0,,,,2.314,0.2521
O01C,"Caesarean Delivery, Minor Complexity", , ,3.0,1,9,0.15,1.0,,,,1.8937,0.2861
O02A,"Vaginal Delivery W GIs, Major Complexity", , ,4.0,1,12,0.09,1.0,,,,2.3856,0.3438
O02B,"Vaginal Delivery W GIs, Minor Complexity", , ,2.9,1,9,0.09,1.0,,,,1.7141,0.3477
O03Z,Ectopic Pregnancy, , ,1.7,1,5,0.11,1.0,,,,1.0972,0.3198
O04A,"Postpartum and Post Abortion W GIs, Major Complexity", , ,4.6,1,14,0.23,1.0,,,,2.1175,0.3399
O04B,"Postpartum and Post Abortion W GIs, Minor Complexity", , ,1.6,1,5,0.14,1.0,,,,0.8545,0.3685
O05Z,Abortion W GIs, , ,1.1,1,3,0.17,1.0,,,,0.5042,0.2043
O60A,"Vaginal Delivery, Major Complexity", , ,3.7,1,11,0.1,1.0,,,,1.6855,0.2903
O60B,"Vaginal Delivery, Intermediate Complexity", , ,2.4,1,7,0.13,1.08,,,,1.1665,0.3248
O60C,"Vaginal Delivery, Minor Complexity", , ,1.8,1,5,0.14,1.0,,,,0.8571,0.3386
O61A,"Postpartum and Post Abortion W/O GIs, Major Complexity",YES, ,5.2,1,16,0.08,1.0,0.2087,,,1.4828,0.2606
O61B,"Postpartum and Post Abortion W/O GIs, Minor Complexity",YES, ,2.2,1,7,0.08,1.0,0.1502,,,0.6334,0.223
O63A,"Abortion W/O GIs, Major Complexity", , ,1.4,1,4,0.14,1.0,,,,0.5972,0.3969
O63B,"Abortion W/O GIs, Minor Complexity", , ,1.1,1,3,0.17,1.0,,,,0.2136,0.1576
O66A,"Antenatal and Other Obstetric Admissions, Major Complexity",YES, ,3.3,1,10,0.06,1.0,0.194,,,0.9423,0.2166
O66B,"Antenatal and Other Obstetric Admissions, Intermediate Complexity", , ,1.4,1,4,0.06,1.19,,,,0.3265,0.2261
O66C,"Antenatal and Other Obstetric Admissions, Minor Complexity", , ,1.1,1,3,0.11,1.18,,,,0.1707,0.1304
P01Z,"Neonate W Sig GI/Vent >= 96 hrs, Died or Transfer to Acute Facility <5 Days", ,YES,1.6,1,4,0.09,1.0,,,,1.8766,
P02Z,Cardiothoracic and Vascular Interventions for Neonates, ,YES,33.9,11,102,0.11,1.0,,1.5109,2.5273,29.3108,0.6741
P03A,"Neonate, AdmWt 1000-1499g W Significant GI/Vent >= 96 hrs, Major Complexity", ,YES,62.7,20,188,0.09,1.0,,0.24,1.3656,27.5513,0.413
P03B,"Neonate, AdmWt 1000-1499g W Significant GI/Vent >= 96 hrs, Minor Complexity", ,YES,39.6,13,119,0.09,1.0,,0.1954,1.2488,16.4295,0.3526
P04A,"Neonate, AdmWt 1500-1999g W Significant GI/Vent >= 96 hrs, Major Complexity", ,YES,51.9,17,156,0.12,1.0,,0.2462,1.3514,23.2204,0.4187
P04B,"Neonate, AdmWt 1500-1999g W Significant GI/Vent >= 96 hrs, Minor Complexity", ,YES,26.5,8,80,0.11,1.0,,0.1382,1.2805,10.3822,0.3158
P05A,"Neonate, AdmWt 2000-2499g W Significant GI/Vent >= 96 hrs, Major Complexity", ,YES,47.3,15,142,0.09,1.0,,0.5597,1.5557,23.8945,0.5005
P05B,"Neonate, AdmWt 2000-2499g W Significant GI/Vent >= 96 hrs, Minor Complexity", ,YES,17.5,5,52,0.08,1.0,,0.2896,1.4518,7.5488,0.3369
P06A,"Neonate, AdmWt >= 2500g W Significant GI/Vent >= 96 hrs, Major Complexity", ,YES,32.7,21,49,0.07,1.0,,0.6361,0.9087,19.7186,0.4596
P06B,"Neonate, AdmWt >= 2500g W Significant GI/Vent >= 96 hrs, Minor Complexity", ,YES,11.8,7,18,0.1,1.0,,0.5015,0.8175,6.224,0.414
P07Z,"Neonate, AdmWt < 750g W Significant GIs", ,YES,104.2,39,358,0.09,1.0,,0.4903,1.6247,63.8538,0.4924
P08Z,"Neonate, AdmWt 750-999g W Significant GIs", ,YES,91.6,32,297,0.09,1.0,,0.9034,1.6423,53.4579,0.4791
P60A,"Neonate W/O Sig GI/Vent>=96hrs, Died/Transfer Acute Facility <5 Days, Maj Comp",YES,YES,2.5,1,4,0.13,1.0,0.5272,,,1.4254,
P60B,"Neonate W/O Sig GI/Vent>=96hrs, Died/Transfer Acute Facility <5 Days, Min Comp", ,YES,1.7,1,4,0.12,1.0,,,,0.7742,
P61Z,"Neonate, AdmWt <750g W/O Significant GI procedure", ,YES,76.8,27,249,0.08,1.0,,0.0,1.512,40.8252,0.4195
P62A,"Neonate, AdmWt 750-999g W/O Significant GIs, Major Complexity", ,YES,81.5,27,244,0.09,1.0,,0.0,1.4021,37.8555,0.4403
P62B,"Neonate, AdmWt 750-999g W/O Significant GIs, Minor Complexity", ,YES,52.4,17,157,0.09,1.0,,0.0,1.4604,24.8275,0.4134
P63A,"Neonate, AdmWt 1000-1249g W/O Significant GI/Vent >= 96 hrs, Major Complexity", ,YES,34.9,11,105,0.06,1.0,,0.0,1.0903,11.9932,0.296
P63B,"Neonate, AdmWt 1000-1249g W/O Significant GI/Vent >= 96 hrs, Minor Complexity", ,YES,10.7,3,32,0.06,1.0,,0.0,1.6104,4.8313,0.2483
P64A,"Neonate, AdmWt 1250-1499g W/O Significant GI/Vent >= 96 hrs, Major Complexity", ,YES,31.2,10,94,0.07,1.0,,0.0,1.0528,10.528,0.3058
P64B,"Neonate, AdmWt 1250-1499g W/O Significant GI/Vent >= 96 hrs, Minor Complexity", ,YES,19.7,6,59,0.07,1.0,,0.0,1.0745,6.447,0.2571
P65A,"Neonate, AdmWt 1500-1999g W/O Significant GI/Vent >= 96 hrs, Extreme Comp", ,YES,28.4,9,85,0.06,1.0,,0.0,1.0462,9.416,0.2763
P65B,"Neonate, AdmWt 1500-1999g W/O Significant GI/Vent >= 96 hrs, Major Complexity", ,YES,23.5,7,70,0.06,1.0,,0.0,1.0666,7.4665,0.2718
P65C,"Neonate, AdmWt 1500-1999g W/O Significant GI/Vent >= 96 hrs, Intermediate Comp", ,YES,18.7,6,56,0.08,1.0,,0.0,0.9884,5.9304,0.27
P65D,"Neonate, AdmWt 1500-1999g W/O Significant GI/Vent >= 96 hrs, Minor Complexity", ,YES,14.2,4,42,0.05,1.0,,0.0,1.1318,4.5272,0.271
P66A,"Neonate, AdmWt 2000-2499g W/O Significant GI/Vent >= 96 hrs, Extreme Comp", ,YES,16.4,5,49,0.07,1.0,,0.0,1.0911,5.4554,0.2875
P66B,"Neonate, AdmWt 2000-2499g W/O Significant GI/Vent >= 96 hrs, Major Complexity", ,YES,10.6,3,32,0.09,1.0,,0.0,1.1812,3.5436,0.2808
P66C,"Neonate, AdmWt 2000-2499g W/O Significant GI/Vent >= 96 hrs, Intermediate Comp", ,YES,7.1,2,21,0.05,1.0,,0.0,1.2365,2.473,0.2935
P66D,"Neonate, AdmWt 2000-2499g W/O Significant GI/Vent >= 96 hrs, Minor Complexity", ,YES,3.6,1,11,0.08,1.0,,,,1.1656,0.2883
P67A,"Neonate, AdmWt >= 2500g W/O Sig GI/Vent >= 96 hrs, < 37 Comp Wks Gest, Extr Comp", ,YES,13.9,9,21,0.06,1.0,,0.0,0.5754,5.1787,0.2989
P67B,"Neonate, AdmWt >= 2500g W/O Sig GI/Vent >= 96 hrs, < 37 Comp Wks Gest, Maj Comp", ,YES,8.7,2,26,0.07,1.0,,0.0,1.5413,3.0826,0.2879
P67C,"Neonate, AdmWt >= 2500g W/O Sig GI/Vent >= 96 hrs, < 37 Comp Wks Gest, Int Comp", ,YES,7.6,2,23,0.07,1.0,,0.0,1.3537,2.7074,0.292
P67D,"Neonate, AdmWt >= 2500g W/O Sig GI/Vent >= 96 hrs, < 37 Comp Wks Gest, Min Comp", ,YES,4.9,1,15,0.06,1.0,,,,1.6693,0.2922
P68A,"Neonate, AdmWt >= 2500g W/O Sig GI/Vent >= 96 hrs, >= 37 Comp Wks Gest, Ext Comp", ,YES,7.3,2,22,0.09,1.0,,0.0,1.4062,2.8124,0.3392
P68B,"Neonate, AdmWt >= 2500g W/O Sig GI/Vent >= 96 hrs, >= 37 Comp Wks Gest, Maj Comp", ,YES,3.6,1,11,0.08,1.0,,,,1.4074,0.3185
P68C,"Neonate, AdmWt >= 2500g W/O Sig GI/Vent >= 96 hrs, >= 37 Comp Wks Gest, Int Comp", ,YES,2.6,1,8,0.1,1.0,,,,0.9836,0.2907
P68D,"Neonate, AdmWt >= 2500g W/O Sig GI/Vent >= 96 hrs, >= 37 Comp Wks Gest, Min Comp", ,YES,2.0,1,6,0.1,1.0,,,,0.659,0.3462
Q01Z,Splenectomy, , ,6.4,2,19,0.13,0.91,,1.2572,1.3821,4.0215,0.3497
Q02A,"Blood and Immune System Disorders W Other GIs, Major Complexity", , ,14.0,4,42,0.12,1.19,,0.581,1.2412,5.5457,0.3078
Q02B,"Blood and Immune System Disorders W Other GIs, Minor Complexity",YES, ,3.5,1,10,0.2,1.18,0.5627,,,1.5057,0.2218
Q60A,"Reticuloendothelial and Immunity Disorders, Major Complexity",YES, ,5.8,1,17,0.09,1.49,0.2292,,,1.729,0.3276
Q60B,"Reticuloendothelial and Immunity Disorders, Minor Complexity", , ,1.1,1,3,0.11,2.0,,,,0.195,0.142
Q61A,"Red Blood Cell Disorders, Major Complexity",YES, ,5.1,1,15,0.13,1.31,0.328,,,1.3597,0.2396
Q61B,"Red Blood Cell Disorders, Intermediate Complexity", , ,1.3,1,4,0.18,1.4,,,,0.3305,0.173
Q61C,"Red Blood Cell Disorders, Minor Complexity", , ,1.1,1,3,0.17,2.0,,,,0.1521,0.0969
Q62A,"Coagulation Disorders, Major Complexity",YES, ,6.4,2,19,0.11,1.0,0.1974,0.0,0.9186,1.8371,0.2398
Q62B,"Coagulation Disorders, Minor Complexity",YES, ,2.7,1,8,0.11,1.55,0.1692,,,0.6136,0.167
R01A,"Lymphoma and Leukaemia W Major GIs, Major Complexity", , ,25.9,8,78,0.15,1.0,,1.0891,1.4467,12.6628,0.4385
R01B,"Lymphoma and Leukaemia W Major GIs, Minor Complexity", , ,6.1,2,18,0.16,1.0,,0.3428,1.6263,3.5954,0.3475
R02A,"Other Neoplastic Disorders W Major GIs, Major Complexity", , ,12.8,4,38,0.14,1.0,,2.3093,1.1826,7.0399,0.282
R02B,"Other Neoplastic Disorders W Major GIs, Intermediate Complexity", , ,6.2,2,19,0.14,1.0,,1.2871,1.4915,4.2701,0.273
R02C,"Other Neoplastic Disorders W Major GIs, Minor Complexity", , ,3.9,1,12,0.18,1.0,,,,2.1035,0.1844
R03A,"Lymphoma and Leukaemia W Other GIs, Major Complexity", , ,25.7,17,38,0.12,1.46,,0.4303,0.5978,10.593,0.3279
R03B,"Lymphoma and Leukaemia W Other GIs, Intermediate Complexity", , ,10.1,3,30,0.17,1.25,,0.5188,1.3147,4.4629,0.2912
R03C,"Lymphoma and Leukaemia W Other GIs, Minor Complexity",YES, ,5.1,1,15,0.21,1.62,0.6223,,,2.1785,0.2618
R04A,"Other Neoplastic Disorders W Other GIs, Major Complexity", , ,9.1,3,27,0.15,1.0,,0.6071,1.1778,4.1405,0.2104
R04B,"Other Neoplastic Disorders W Other GIs, Minor Complexity",YES, ,3.8,1,12,0.2,1.16,0.573,,,2.0075,0.22
R05A,"Allogeneic Bone Marrow Transplant, Age <= 16 Years or Major Complexity", , ,45.0,30,68,0.06,1.71,,0.0619,0.6972,20.9771,0.4552
R05B,"Allogeneic Bone Marrow Transplant, Age >= 17 Years and Minor Complexity", , ,24.2,8,73,0.07,1.0,,0.0,1.446,11.5677,0.3963
R06A,"Autologous Bone Marrow Transplant, Major Complexity", , ,24.9,8,75,0.06,2.0,,0.0245,1.3279,10.6481,0.4167
R06B,"Autologous Bone Marrow Transplant, Intermediate Complexity", , ,18.8,6,56,0.06,1.0,,0.0,1.1798,7.0787,0.3338
R06C,"Autologous Bone Marrow Transplant, Minor Complexity", , ,10.6,3,32,0.07,1.0,,0.0093,1.6598,4.9887,0.2961
R60A,"Acute Leukaemia, Major Complexity", , ,18.3,6,55,0.08,1.06,,0.0,1.5065,9.039,0.3654
R60B,"Acute Leukaemia, Intermediate Complexity",YES, ,7.3,2,22,0.09,1.0,0.3484,0.135,1.3724,2.8798,0.2908
R60C,"Acute Leukaemia, Minor Complexity",YES, ,4.9,1,15,0.13,1.86,0.2145,,,1.2902,0.1542
R61A,"Lymphoma and Non-Acute Leukaemia, Major Complexity", , ,10.0,3,30,0.09,1.72,,0.0,1.2235,3.6705,0.315
R61B,"Lymphoma and Non-Acute Leukaemia, Intermediate Complexity",YES, ,4.3,1,13,0.09,1.6,0.2688,,,1.4727,0.2856
R61C,"Lymphoma and Non-Acute Leukaemia, Minor Complexity", , ,1.2,1,3,0.13,2.0,,,,0.2321,0.1697
R62A,"Other Neoplastic Disorders, Major Complexity", , ,8.8,2,26,0.1,1.33,,0.2084,1.271,2.7504,0.2634
R62B,"Other Neoplastic Disorders, Intermediate Complexity",YES, ,5.4,1,16,0.11,1.0,0.8539,,,1.6555,0.2329
R62C,"Other Neoplastic Disorders, Minor Complexity",YES, ,3.8,1,11,0.14,1.73,0.393,,,0.9055,0.1826
R63Z,Chemotherapy, , ,1.0,1,1,0.09,1.27,,,,0.2392,
T01A,"Infectious and Parasitic Diseases W GIs, Major Complexity", , ,28.0,9,84,0.11,1.54,,1.1331,1.1105,11.1276,0.3185
T01B,"Infectious and Parasitic Diseases W GIs, Intermediate Complexity", , ,15.5,5,46,0.1,1.22,,0.6064,1.0445,5.8289,0.2353
T01C,"Infectious and Parasitic Diseases W GIs, Minor Complexity", , ,7.5,2,23,0.1,1.0,,0.4086,1.0954,2.5995,0.2234
T40Z,Infectious and Parasitic Diseases W Ventilator Support, , ,6.8,2,20,0.11,1.18,,0.0981,2.2453,4.5887,0.3795
T60A,"Septicaemia, Major Complexity", , ,12.9,4,39,0.1,1.34,,0.0,1.0753,4.3012,0.2509
T60B,"Septicaemia, Intermediate Complexity", , ,7.1,2,21,0.11,1.19,,0.0,1.0459,2.0918,0.2279
T60C,"Septicaemia, Minor Complexity", , ,4.1,1,12,0.11,1.3,,,,1.0357,0.2245
T61A,"Postoperative Infections, Major Complexity", , ,6.6,2,20,0.08,1.42,,0.0,0.8268,1.6535,0.1853
T61B,"Postoperative Infections, Minor Complexity", , ,3.2,1,10,0.09,1.48,,,,0.6217,0.1501
T62A,"Fever of Unknown Origin, Major Complexity", , ,5.0,1,15,0.11,1.1,,,,1.4494,0.2754
T62B,"Fever of Unknown Origin, Minor Complexity", , ,2.0,1,6,0.11,0.94,,,,0.4872,0.2698
T63A,"Viral Illnesses, Major Complexity", , ,4.3,1,13,0.1,1.07,,,,1.1116,0.2639
T63B,"Viral Illnesses, Minor Complexity", , ,1.4,1,4,0.1,1.19,,,,0.2948,0.2136
T64A,"Other Infectious and Parasitic Diseases, Major Complexity", , ,17.7,5,53,0.07,1.0,,0.0,1.2735,6.3674,0.2884
T64B,"Other Infectious and Parasitic Diseases, Intermediate Complexity", , ,9.0,2,27,0.09,1.13,,0.0,1.2088,2.4177,0.2034
T64C,"Other Infectious and Parasitic Diseases, Minor Complexity",YES, ,5.2,1,16,0.09,1.07,0.2163,,,1.1509,0.1754
U40Z,"Mental Health Treatment W ECT, Sameday", , ,1.0,1,1,0.13,1.0,,,,0.1846,
U60Z,"Mental Health Treatment W/O ECT, Sameday", , ,1.0,1,1,0.11,2.0,,,,0.1294,
U61A,"Schizophrenia Disorders, Major Complexity", , ,40.1,26,60,0.02,1.0,,0.0,0.3759,9.7723,0.1911
U61B,"Schizophrenia Disorders, Minor Complexity", , ,18.8,12,28,0.01,1.0,,0.0,0.4027,4.8323,0.2076
U62A,"Paranoia and Acute Psychotic Disorders, Major Complexity", , ,23.0,15,34,0.04,1.49,,0.0,0.3985,5.9775,0.2021
U62B,"Paranoia and Acute Psychotic Disorders, Minor Complexity", , ,10.8,7,16,0.02,2.0,,0.0,0.434,3.0378,0.2034
U63A,"Major Affective Disorders, Major Complexity", , ,27.2,18,41,0.03,1.73,,0.0,0.4145,7.4614,0.2133
U63B,"Major Affective Disorders, Minor Complexity", , ,12.5,8,19,0.02,1.58,,0.0,0.4401,3.5212,0.212
U64A,"Other Affective and Somatoform Disorders, Major Complexity", , ,12.6,8,19,0.02,1.54,,0.0,0.3981,3.1845,0.1844
U64B,"Other Affective and Somatoform Disorders, Minor Complexity", , ,5.5,3,8,0.02,1.82,,0.0,0.4924,1.4771,0.202
U65A,"Anxiety Disorders, Major Complexity", , ,9.3,6,14,0.04,1.58,,0.0,0.4581,2.7489,0.2045
U65B,"Anxiety Disorders, Minor Complexity", , ,3.5,2,5,0.04,1.76,,0.0,0.4813,0.9626,0.2185
U66A,"Eating and Obsessive-Compulsive Disorders, Major Complexity", , ,24.4,16,37,0.03,1.19,,0.0,0.5078,8.1254,0.256
U66B,"Eating and Obsessive-Compulsive Disorders, Minor Complexity", , ,13.4,8,20,0.02,1.26,,0.0,0.5761,4.6089,0.2726
U67A,"Personality Disorders and Acute Reactions, Major Complexity", , ,10.9,7,16,0.02,1.67,,0.0,0.4536,3.175,0.2059
U67B,"Personality Disorders and Acute Reactions, Minor Complexity", , ,4.9,3,7,0.02,1.82,,0.0,0.4737,1.4212,0.2169
U68A,"Childhood Mental Disorders, Major Complexity", , ,14.4,9,22,0.01,1.37,,0.0,0.5529,4.9761,0.226
U68B,"Childhood Mental Disorders, Minor Complexity", , ,6.3,4,9,0.01,1.3,,0.0,0.571,2.2842,0.2656
V60A,"Alcohol Intoxication and Withdrawal, Major Complexity", , ,3.5,2,5,0.07,1.0,,0.0,0.4873,0.9746,0.2252
V60B,"Alcohol Intoxication and Withdrawal, Minor Complexity", , ,1.4,1,2,0.09,0.8,,,,0.2313,0.1632
V61A,"Drug Intoxication and Withdrawal, Major Complexity", , ,7.9,5,12,0.04,2.0,,0.0,0.4701,2.3503,0.2352
V61B,"Drug Intoxication and Withdrawal, Minor Complexity", , ,3.8,2,6,0.05,1.73,,0.0,0.5199,1.0398,0.2034
V62A,"Alcohol Use and Dependence, Major Complexity", , ,8.6,5,13,0.03,1.0,,0.0,0.438,2.1901,0.2433
V62B,"Alcohol Use and Dependence, Minor Complexity", , ,4.2,2,6,0.05,1.0,,0.0,0.4717,0.9435,0.191
V63Z,Opioid Use and Dependence, , ,5.3,3,8,0.05,1.0,,0.0,0.4779,1.4337,0.2191
V64A,"Other Drug Use and Dependence, Major Complexity", , ,6.9,4,10,0.03,1.0,,0.0,0.4294,1.7175,0.2167
V64B,"Other Drug Use and Dependence, Minor Complexity", , ,3.7,2,6,0.03,1.0,,0.0,0.4989,0.9978,0.2064
W01A,"Vent, Trac & Cran Interventions for Mult Sig Trauma, Major Complexity", , ,27.0,8,81,0.13,1.0,,3.7008,2.4135,23.0084,0.407
W01B,"Vent, Trac & Cran Interventions for Mult Sig Trauma, Intermediate Complexity", , ,14.1,4,42,0.13,1.0,,3.0377,2.7412,14.0024,0.4107
W01C,"Vent, Trac & Cran Interventions for Mult Sig Trauma, Minor Complexity", , ,9.5,3,28,0.13,1.0,,1.461,2.5203,9.0219,0.4214
W02A,"Hip, Femur and Lower Limb Interventions for Multiple Sig Trauma, Major Comp", , ,18.5,6,55,0.23,1.0,,2.6005,1.3393,10.6365,0.3796
W02B,"Hip, Femur and Lower Limb Interventions for Multiple Sig Trauma, Minor Comp", , ,9.4,3,28,0.25,1.0,,1.3266,1.1271,4.7078,0.2762
W03Z,Abdominal Interventions for Multiple Significant Trauma, , ,9.5,3,30,0.13,1.0,,1.3532,1.2985,5.2486,0.4091
W04A,"Multiple Significant Trauma W Other GIs, Major Complexity", , ,16.8,11,25,0.14,1.0,,2.0424,0.6669,9.378,0.369
W04B,"Multiple Significant Trauma W Other GIs, Minor Complexity", , ,8.0,2,24,0.14,1.0,,1.2899,1.7401,4.7701,0.3676
W60Z,"Multiple Sig Trauma, Transferred to Acute Facility <5 Days", , ,1.7,1,4,0.18,1.0,,,,1.357,
W61A,"Multiple Significant Trauma W/O GIs, Major Complexity", , ,9.3,3,28,0.08,1.17,,0.0,0.965,2.895,0.2524
W61B,"Multiple Significant Trauma W/O GIs, Minor Complexity", , ,4.9,1,15,0.08,1.17,,,,1.3907,0.2764
X02A,"Microvascular Tissue Transfer and Skin Grafts for Injuries to Hand, Major Comp", , ,6.2,4,9,0.22,1.0,,0.7433,0.9704,4.6249,0.5138
X02B,"Microvascular Tissue Transfer and Skin Grafts for Injuries to Hand, Minor Comp", , ,1.7,1,5,0.31,1.21,,,,1.0178,0.5254
X04A,"Other Interventions for Injuries to Lower Limb, Major Complexity", , ,11.0,3,33,0.11,1.0,,0.6157,1.1467,4.0557,0.2267
X04B,"Other Interventions for Injuries to Lower Limb, Minor Complexity",YES, ,2.3,1,7,0.14,1.0,0.5331,,,1.063,0.2672
X05A,"Other Interventions for Injuries to Hand, Major Complexity", , ,3.0,1,9,0.12,1.06,,,,1.5613,0.2937
X05B,"Other Interventions for Injuries to Hand, Minor Complexity", , ,1.3,1,4,0.2,1.0,,,,0.6212,0.2107
X06A,"Other Interventions for Other Injuries, Major Complexity", , ,11.0,3,33,0.12,1.5,,0.7003,1.1469,4.1411,0.2365
X06B,"Other Interventions for Other Injuries, Intermediate Complexity", , ,3.7,1,11,0.12,1.0,,,,1.4351,0.2293
X06C,"Other Interventions for Other Injuries, Minor Complexity", , ,1.7,1,5,0.11,1.06,,,,0.7749,0.282
X07A,"Skin Grafts for Injuries Excluding Hand, Major Complexity", , ,20.9,13,31,0.1,1.0,,0.8811,0.5108,7.5211,0.295
X07B,"Skin Grafts for Injuries Excluding Hand, Intermediate Complexity", , ,8.9,2,27,0.08,1.0,,0.4895,1.4466,3.3828,0.2805
X07C,"Skin Grafts for Injuries Excluding Hand, Minor Complexity", , ,4.6,1,14,0.11,1.0,,,,1.7977,0.2495
X40A,"Injuries, Poisoning and Toxic Effects of Drugs W Ventilator Support, Major Comp", , ,5.2,1,16,0.08,1.0,,,,3.0691,0.3237
X40B,"Injuries, Poisoning and Toxic Effects of Drugs W Ventilator Support, Minor Comp", , ,2.3,1,7,0.08,1.0,,,,1.6367,0.345
X60A,"Injuries, Major Complexity",YES, ,4.3,1,13,0.1,1.0,0.1886,,,1.0072,0.2125
X60B,"Injuries, Minor Complexity", , ,1.2,1,4,0.16,1.53,,,,0.2197,0.1653
X61A,"Allergic Reactions, Major Complexity", , ,1.7,1,5,0.13,1.06,,,,0.4231,0.2344
X61B,"Allergic Reactions, Minor Complexity", , ,1.0,1,3,0.14,1.0,,,,0.1286,0.0919
X62A,"Poisoning/Toxic Effects of Drugs and Other Substances, Major Complexity",YES, ,3.9,1,12,0.08,1.33,0.1778,,,1.0897,0.258
X62B,"Poisoning/Toxic Effects of Drugs and Other Substances, Minor Complexity", , ,1.3,1,4,0.09,1.08,,,,0.2784,0.2061
X63A,"Sequelae of Treatment, Major Complexity",YES, ,5.3,1,16,0.11,1.37,0.2181,,,1.2979,0.2084
X63B,"Sequelae of Treatment, Minor Complexity", , ,1.8,1,5,0.1,1.18,,,,0.3709,0.2103
X64A,"Other Injuries, Poisonings and Toxic Effects, Major Complexity", , ,5.1,1,15,0.1,1.0,,,,1.2626,0.2174
X64B,"Other Injuries, Poisonings and Toxic Effects, Intermediate Complexity", , ,1.7,1,5,0.13,1.35,,,,0.3307,0.2304
X64C,"Other Injuries, Poisonings and Toxic Effects, Minor Complexity", , ,1.1,1,3,0.17,1.17,,,,0.1775,0.1339
Y01Z,Vent >= 96 hrs or Trach for Burns or GIs for Severe Full Thickness Burns, , ,29.8,18,164,0.06,1.0,,2.564,2.0104,38.7515,0.7861
Y02A,"Skin Grafts for Other Burns, Major Complexity", , ,17.6,5,53,0.04,1.12,,0.7272,1.7577,9.5154,0.414
Y02B,"Skin Grafts for Other Burns, Intermediate Complexity", , ,7.5,2,23,0.05,1.12,,0.424,1.8492,4.1223,0.3452
Y02C,"Skin Grafts for Other Burns, Minor Complexity", , ,3.1,1,9,0.06,1.0,,,,1.461,0.4154
Y03A,"Other GIs for Other Burns, Major Complexity", , ,4.4,1,13,0.04,1.0,,,,1.7997,0.3442
Y03B,"Other GIs for Other Burns, Minor Complexity", , ,1.8,1,5,0.1,0.94,,,,0.759,0.3894
Y60Z,"Burns, Transferred to Acute Facility < 5 Days", , ,1.2,1,4,0.05,1.0,,,,0.5524,0.2596
Y61Z,Severe Burns, , ,3.6,1,10,0.04,1.19,,,,0.9384,0.3255
Y62A,"Other Burns, Major Complexity",YES, ,4.6,1,14,0.05,1.29,0.1715,,,1.4453,0.2713
Y62B,"Other Burns, Minor Complexity",YES, ,2.3,1,7,0.04,1.91,0.1288,,,0.5349,0.2021
Z01A,"Other Contacts W Health Services W GIs, Major Complexity", , ,7.3,2,22,0.17,1.05,,0.5972,1.2552,3.1076,0.2048
Z01B,"Other Contacts W Health Services W GIs, Minor Complexity", , ,1.2,1,4,0.3,1.18,,,,0.6964,0.2326
Z40Z,Other Contacts W Health Services W Endoscopy, , ,1.1,1,3,0.37,1.94,,,,0.2829,0.1066
Z61A,"Signs and Symptoms, Major Complexity",YES, ,6.0,1,18,0.09,1.29,0.1607,,,1.3777,0.2094
Z61B,"Signs and Symptoms, Minor Complexity", , ,1.6,1,5,0.13,1.19,,,,0.3091,0.2267
Z63A,"Other Follow Up After Surgery or Medical Care, Major Complexity", , ,8.2,2,25,0.07,1.77,,0.0,0.9548,1.9096,0.1987
Z63B,"Other Follow Up After Surgery or Medical Care, Minor Complexity", , ,3.5,1,11,0.21,0.82,,,,0.7071,0.173
Z64A,"Other Factors Influencing Health Status, Major Complexity",YES, ,7.0,2,21,0.07,1.0,0.2321,0.0,0.9178,1.8356,0.2133
Z64B,"Other Factors Influencing Health Status, Minor Complexity",YES, ,3.4,1,10,0.39,1.38,0.1998,,,0.5987,0.1791
Z65Z,Congenital Anomalies and Problems Arising from Neonatal Period, , ,2.5,1,12,0.14,1.32,,,,0.6191,0.2741
Z66Z,Sleep Disorders, , ,2.3,1,8,0.16,1.51,,,,0.3165,0.1447
