325,291,259,232,196,170,147,121,93,65,40,2
328,293,260,234,198,172,148,122,94,66,44,3
C12,C11,C10,C9,C8,C7,C6,C5,C4,C3,C2,C1
329,296,263,236,201,173,149,124,96,67,45,6
330,297,264,237,204,176,150,127,97,68,46,8
Ma,298,265,238,205,179,151,128,101,69,47,10
Ve,299,267,239,207,180,152,131,102,70,48,14
C24,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13
524,300,268,241,210,181,154,132,103,72,49,17
Le,303,270,242,211,183,155,133,106,73,50,21
Ar,305,272,244,213,184,156,134,107,74,51,22
AB,308,274,245,215,185,159,135,109,77,52,23
C36,C35,C34,C33,C32,C31,C30,C29,C28,C27,C26,C25
Do,310,275,246,217,186,160,136,110,78,53,25
Pi,314,276,250,220,187,161,137,111,79,55,26
CU,315,281,251,224,188,162,138,112,81,58,29
UC18,318,284,253,225,189,163,139,113,83,60,31
C48,C47,C46,C45,C44,C43,C42,C41,C40,C39,C38,C37
UC14,319,285,254,226,191,165,141,116,85,61,34
,321,286,255,228,193,166,142,118,87,62,35
,322,287,257,230,194,167,143,119,88,63,36
,323,288,258,231,195,168,146,120,90,64,38
,C59,C58,C57,C56,C55,C54,C53,C52,C51,C50,C49